variable,source,definition
n_enrolled,s02q01,Count of HH members currently attending school
n_school_age,s02q01,Count of HH members who ever attended or currently attend
any_enrolled,derived,1 if any HH member currently attending
n_private_school,s02q04,Count of currently-attending members in private/institutional schools
n_scholarship,s02q05,Count of members receiving scholarship
scholarship_amt_12m,s02q08,"Sum of scholarship amounts (Rs., 12m)"
edu_spend_tuition_12m,s02q09a,"Tuition / admission fees (Rs., 12m)"
edu_spend_books_12m,s02q09b,"Books & stationery (Rs., 12m)"
edu_spend_uniforms_12m,s02q09c,"Uniforms & clothing (Rs., 12m)"
edu_spend_transport_12m,s02q09d,"Transport to school (Rs., 12m)"
edu_spend_food_lodging_12m,s02q09e,"Food & lodging / hostel (Rs., 12m)"
edu_spend_other_12m,s02q09f,"Other education expenses (Rs., 12m)"
edu_spend_total_12m,derived,Sum of all six education sub-categories
edu_spend_per_enrolled,derived,Total education spend / n_enrolled (NA if 0)
n_insured,s03q01,Count of members with health card
any_insured,derived,1 if any member has health card
n_chronic,s03q02a,Count of members with chronic illness
n_acute_illness,s03q04,Count of members with acute illness (past 30d)
any_health_spending,derived,1 if HH had any medical spending
hlt_spend_fees,s03q06a,Consultation / doctor fees (Rs.)
hlt_spend_medicines,s03q06b,Medicines (Rs.)
hlt_spend_hospital,s03q06c,Hospital / inpatient costs (Rs.)
hlt_spend_tests,s03q06d,Diagnostic tests (Rs.)
hlt_spend_other,s03q06e,Other medical expenses (Rs.)
hlt_spend_total,derived,Sum of all five health sub-categories
