design,lag,term,beta,se,t,p,sig,mean_y,n
LEVEL,0,bare,0.0767,0.0798,0.96,0.3368,,8.0379,1125
LEVEL,0,inter,0.1274,0.0136,9.35,0.0,***,8.0379,1125
LEVEL,1,bare,0.0897,0.0917,0.98,0.3281,,8.1544,1125
LEVEL,1,inter,0.1328,0.0144,9.21,0.0,***,8.1544,1125
LEVEL,2,bare,0.0451,0.0874,0.52,0.6065,,8.2081,1050
LEVEL,2,inter,0.1086,0.015,7.22,0.0,***,8.2081,1050
FD,0,bare,0.0166,0.035,0.47,0.6361,,0.1779,1050
FD,0,inter,0.0097,0.0072,1.36,0.1755,,0.1779,1050
FD,1,bare,0.1627,0.0425,3.82,0.0001,***,0.1165,1125
FD,1,inter,0.0148,0.0074,2.01,0.0448,**,0.1165,1125
FD,2,bare,-0.0231,0.0314,-0.74,0.4616,,0.0403,1050
FD,2,inter,0.0276,0.0057,4.87,0.0,***,0.0403,1050
