spec,config,construction,beta,t_stat,p_val,sig,n_obs
C1 bare,2001sh+2001mi,A_log,-0.0533,-2.81,0.0051,***,1110
C1 bare,2001sh+2001mi,A_lin,-0.0316,-2.67,0.0076,***,1110
C1 bare,2001sh+2001mi,B_log,-0.2893,-2.81,0.0051,***,1110
C1 bare,DOFEsh+DOFEmi,A_log,-0.1254,-8.66,0.0,***,1110
C1 bare,DOFEsh+DOFEmi,A_lin,-0.1107,-6.76,0.0,***,1110
C1 bare,DOFEsh+DOFEmi,B_log,-1.19,-8.66,0.0,***,1110
C2 +cmig,2001sh+2001mi,A_log,-0.1064,-1.25,0.2127,,1110
C2 +cmig,2001sh+2001mi,A_lin,-0.1363,-1.67,0.0946,*,1110
C2 +cmig,2001sh+2001mi,B_log,-0.578,-1.25,0.2127,,1110
C2 +cmig,DOFEsh+DOFEmi,A_log,0.239,4.15,0.0,***,1110
C2 +cmig,DOFEsh+DOFEmi,A_lin,0.1509,1.85,0.064,*,1110
C2 +cmig,DOFEsh+DOFEmi,B_log,2.2691,4.15,0.0,***,1110
C3 +cfx,2001sh+2001mi,A_log,-0.1051,-1.33,0.1828,,1110
C3 +cfx,2001sh+2001mi,A_lin,-0.1776,-2.18,0.0296,**,1110
C3 +cfx,2001sh+2001mi,B_log,-0.5708,-1.33,0.1828,,1110
C3 +cfx,DOFEsh+DOFEmi,A_log,0.2703,4.38,0.0,***,1110
C3 +cfx,DOFEsh+DOFEmi,A_lin,0.1772,2.11,0.0352,**,1110
C3 +cfx,DOFEsh+DOFEmi,B_log,2.5657,4.38,0.0,***,1110
C4 +X,2001sh+2001mi,A_log,-0.062,-0.43,0.668,,1110
C4 +X,2001sh+2001mi,A_lin,-0.0677,-0.53,0.5983,,1110
C4 +X,2001sh+2001mi,B_log,-0.3367,-0.43,0.668,,1110
C4 +X,DOFEsh+DOFEmi,A_log,0.1739,2.36,0.0184,**,1110
C4 +X,DOFEsh+DOFEmi,A_lin,0.1372,1.63,0.1041,,1110
C4 +X,DOFEsh+DOFEmi,B_log,1.6513,2.36,0.0184,**,1110
