group,outcome,version,beta,se,t,p,ci_lo,ci_hi,mean_y,n,sig
CENSUS 2021,absent_hh_share,v1,0.0068,0.0122,0.56,0.5774,-0.0171,0.0306,0.2253,75,
CENSUS 2021,absent_hh_share,v2,0.0314,0.0081,3.87,0.0001,0.0155,0.0473,0.2253,75,***
CENSUS 2021,mig_in_international,v1,0.005,0.0017,2.94,0.0033,0.0017,0.0084,0.0218,75,***
CENSUS 2021,mig_in_international,v2,0.0006,0.0019,0.29,0.7725,-0.0033,0.0044,0.0218,75,
CENSUS 2021,mig_in_share,v1,0.0363,0.0097,3.74,0.0002,0.0173,0.0553,0.2413,75,***
CENSUS 2021,mig_in_share,v2,0.0398,0.0142,2.81,0.005,0.012,0.0676,0.2413,75,***
DOFE 2011-23 cumulative/mean,log_perm_total_2011_23,v1,0.6431,0.1381,4.66,0.0,0.3724,0.9138,10.8584,75,***
DOFE 2011-23 cumulative/mean,log_perm_total_2011_23,v2,0.3563,0.1055,3.38,0.0007,0.1495,0.5631,10.8584,75,***
DOFE 2011-23 cumulative/mean,log_perm_mean_2011_23,v1,0.4831,0.1193,4.05,0.0001,0.2493,0.7169,5.5099,75,***
DOFE 2011-23 cumulative/mean,log_perm_mean_2011_23,v2,0.2262,0.0902,2.51,0.0121,0.0495,0.403,5.5099,75,**
RVS 2016-18 mean,hh_intl_share,v1,0.0083,0.0105,0.79,0.4282,-0.0123,0.0289,0.3169,50,
RVS 2016-18 mean,hh_intl_share,v2,0.0344,0.0129,2.68,0.0075,0.0092,0.0596,0.3169,50,***
RVS 2016-18 mean,intl_per_hh,v1,-0.0119,0.022,-0.54,0.5897,-0.055,0.0313,0.4171,50,
RVS 2016-18 mean,intl_per_hh,v2,0.062,0.0223,2.78,0.0054,0.0184,0.1056,0.4171,50,***
RVS 2016-18 mean,log_wt_intl_mig,v1,0.2598,0.0892,2.91,0.0036,0.085,0.4346,15.9161,50,***
RVS 2016-18 mean,log_wt_intl_mig,v2,0.0437,0.1396,0.31,0.7544,-0.23,0.3174,15.9161,50,
RVS 2016-18 mean,log_remit_per_hh,v1,0.3234,0.0934,3.46,0.0005,0.1403,0.5065,10.7041,50,***
RVS 2016-18 mean,log_remit_per_hh,v2,0.4317,0.0769,5.62,0.0,0.281,0.5824,10.7041,50,***
